"segment","mean_oxygen","mean_temperature","start_time","round"
1,0.277441666666667,25.7589583333333,"12:06:01",1
2,0.273371428571429,25.8257142857143,"12:07:44",1
3,0.2619,26.338,"12:09:13",1
4,0.220028787878788,28.0540909090909,"12:12:42",1
5,0.247082608695652,26.824347826087,"12:14:38",1
6,0.257648,26.3108,"12:15:47",1
7,0.237742307692308,27.1634615384615,"12:16:50",1
8,0.25126,26.5536,"12:17:52",1
9,0.2308125,27.4878125,"12:21:01",1
10,0.253035135135135,26.5008108108108,"12:22:08",1
1,0.25025,26.575,"12:25:29",2
2,0.242846153846154,26.8292307692308,"12:27:39",2
3,0.224388888888889,27.6237037037037,"12:28:52",2
4,0.225669230769231,27.5623076923077,"12:31:15",2
5,0.227036363636364,27.5254545454545,"12:31:43",2
6,0.252472727272727,26.4004545454545,"12:33:16",2
7,0.223115789473684,27.6715789473684,"12:34:22",2
8,0.235739130434783,27.0830434782609,"12:35:13",2
9,0.230075,27.314375,"12:36:35",2
10,0.254535294117647,26.2617647058824,"12:37:26",2
1,0.231372222222222,27.2027777777778,"12:40:51",3
2,0.225408695652174,27.5039130434783,"12:42:24",3
3,0.228721052631579,27.3110526315789,"12:43:40",3
4,0.224721052631579,27.4415789473684,"12:44:25",3
5,0.22511875,27.364375,"12:45:26",3
6,0.256733333333333,26.0852380952381,"12:47:44",3
7,0.214855,27.865,"12:48:40",3
8,0.236533333333333,26.9,"12:49:31",3
9,0.223655555555556,27.4114814814815,"12:50:54",3
10,0.250740625,26.2821875,"12:51:49",3
1,0.284809090909091,25.1077272727273,"13:01:26",4
2,0.232338095238095,27.0138095238095,"13:02:15",4
3,0.226571428571429,27.2414285714286,"13:03:11",4
4,0.213479166666667,27.8579166666667,"13:04:21",4
5,0.216136363636364,27.7159090909091,"13:06:01",4
6,0.237621052631579,26.6989473684211,"13:06:56",4
7,0.21182,27.854,"13:07:38",4
8,0.21467619047619,27.6238095238095,"13:08:36",4
9,0.220822580645161,27.4793548387097,"13:10:15",4
10,0.239527777777778,26.6483333333333,"13:11:09",4
1,0.233452380952381,26.872380952381,"13:27:23",5
2,0.213476923076923,27.7753846153846,"13:28:11",5
3,0.2027,28.329375,"13:29:11",5
4,0.19866,28.4946666666667,"13:30:18",5
5,0.20563125,28.07,"13:31:51",5
6,0.235541176470588,26.6676470588235,"13:32:34",5
7,0.219588888888889,28.0188888888889,"13:33:26",5
8,0.200452631578947,28.351052631579,"13:34:15",5
9,0.208368421052632,28.1784210526316,"13:35:37",5
10,0.232307692307692,26.8230769230769,"13:36:21",5
